Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_AKTFC_IAA106359,Image,Antakya. View over City.,,,,,,,,,,,Türkiye,Aga Khan Trust for Culture,IAA106359,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/8499bbc3-220e-4a31-9575-5f177bcc51b7/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/8499bbc3-220e-4a31-9575-5f177bcc51b7/iiif,,"View over Antakya (Antioch), Turkey."
XX_AKTFC_IAA106358,Image,Antakya. View over Houses.,,,,,,,,,,,Türkiye,Aga Khan Trust for Culture,IAA106358,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/b9b4484c-ce4a-41db-b4d2-9d25208d1dff/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/b9b4484c-ce4a-41db-b4d2-9d25208d1dff/iiif,,"View over a residential quarter in Antakya (Antioch), Turkey."
XX_AKTFC_IAA106355,Image,Antakya. Cemetery.,,,,,,,,,,,Türkiye,Aga Khan Trust for Culture,IAA106355,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9a24eec9-bf6d-417f-af53-0b84f6bff253/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9a24eec9-bf6d-417f-af53-0b84f6bff253/iiif,,"View of a cemetery near Antakya (Antioch), Turkey."
XX_AKTFC_IAA106354,Image,Antakya. Cemetery.,,,,,,,,,,,Türkiye,Aga Khan Trust for Culture,IAA106354,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/3dc7c42b-b794-4a55-8d93-76ace6dd525a/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/3dc7c42b-b794-4a55-8d93-76ace6dd525a/iiif,,"View of a cemetery near Antakya (Antioch), Turkey."
XX_AKTFC_IAA106353,Image,Antakya. Mausoleum.,,,,,,,,,,,Türkiye,Aga Khan Trust for Culture,IAA106353,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c5965d2d-29c1-4ba7-a792-412cee2840b1/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c5965d2d-29c1-4ba7-a792-412cee2840b1/iiif,,"View of a building, possibly a mausoleum, near Antakya (Antioch), Turkey."
XX_MCATAKU_DTP105074,Publication,Antakya: An Ottoman City in the Nineteenth Century,,,,,,,,,,,,Muslim Civilisations Abstracts - The Aga Khan University,DTP105074,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/d53f627b-df75-49ae-adad-933361a40e27/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/d53f627b-df75-49ae-adad-933361a40e27/iiif,,
XX_UNKNOWN_AS107171,Site,Antakya Synagogue,,,,,,,,,,,Türkiye,,AS107171,,,,,,,
XX_UNKNOWN_AN100855,Authority,Antakya ,,,,,,,,,,,Türkiye,,AN100855,,,,,,,
XX_D_IAA697910,Image,Antakya Synagogue,,,,,,,,,,,None,Dreamstime,IAA697910,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/2e6bd910-ea23-4ff9-9be1-987aa58d01f3/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/2e6bd910-ea23-4ff9-9be1-987aa58d01f3/iiif,,View of the Facade
XX_D_IAA697909,Image,Antakya Synagogue Interior,,,,,,,,,,,None,Dreamstime.com,IAA697909,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/05f2575d-eff5-4fbb-a8c3-138357af230d/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/05f2575d-eff5-4fbb-a8c3-138357af230d/iiif,,Interior View of the synagogue
XX_AKTFC_IAA106357,Image,Antakya-Latakiyya Road. Fountain.,,,,,,,,,,,Syria,Aga Khan Trust for Culture,IAA106357,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/cbe60d5b-bce6-4ded-b273-c9cef2b468f7/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/cbe60d5b-bce6-4ded-b273-c9cef2b468f7/iiif,,"View of a fountain along the road between Antakya (Antioch), Turkey and Latakiyya (Latakia), Syria."
XX_D_IAA697927,Image,"Old Antakya, Kurtulus Street",,,,,,,,,,,None,Dreamstime,IAA697927,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/325c8acf-8555-4060-aa8b-3c14d059cda8/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/325c8acf-8555-4060-aa8b-3c14d059cda8/iiif,,View along Kurtulus Street in Antakya with the facade of the synagogue in view
XX_UNKNOWN_AS107172,Site,Greek Orthodox Church of Antakya,,,,,,,,,,,Türkiye,,AS107172,,,,,,,
XX_MCATAKU_DTP104867,Publication,XIX. Yüzyılda Bir Osmanlı Şehri: Antakya,,,,,,,,,,,,Muslim Civilisations abstract the Aga Khan University,DTP104867,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/bc2f9d2a-3939-40b6-9344-c4836076fe5d/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/bc2f9d2a-3939-40b6-9344-c4836076fe5d/iiif,,
