Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_UNKNOWN_IHA0661,Authority, Leyla Yılmaz,,,,,,,,,,,,,IHA0661,,,,,,,
XX_UNKNOWN_IHA0958,Authority,Adem Kara,,,,,,,,,,,,,IHA0958,,,,,,,
XX_UNKNOWN_AN100855,Authority,Antakya ,,,,,,,,,,,Türkiye,,AN100855,,,,,,,
XX_UNKNOWN_AN100856,Authority,Antalya ,,,,,,,,,,,Türkiye,,AN100856,,,,,,,
XX_UNKNOWN_AN104317,Authority,Aptin Khanbaghi,,,,,,,,,,,,,AN104317,,,,,,,
XX_UNKNOWN_IHA0659,Authority,Aysu  Dincer,,,,,,,,,,,,,IHA0659,,,,,,,
XX_UNKNOWN_IHA0662,Authority,Başak  Acınan,,,,,,,,,,,,,IHA0662,,,,,,,
XX_UNKNOWN_AN00148,Authority,Cafer Bozkurt,,,,,,,,,,,Türkiye,,AN00148,,,,,,,
XX_UNKNOWN_AN00469,Authority,Dogan Tekeli,,,,,,,,,,,Türkiye,,AN00469,,,,,,,
XX_UNKNOWN_AN02510,Authority,Elif Özdemir,,,,,,,,,,,Türkiye,,AN02510,,,,,,,
XX_UNKNOWN_IHA0663,Authority,Ertürk  Barlas,,,,,,,,,,,,,IHA0663,,,,,,,
XX_UNKNOWN_IHA0688,Authority,Feryal  Tansuğ,,,,,,,,,,,,,IHA0688,,,,,,,
XX_UNKNOWN_IHA0658,Authority,Feryal  Tansuğ,,,,,,,,,,,,,IHA0658,,,,,,,
XX_UNKNOWN_AN103921,Authority,Gonca  Paşolar,,,,,,,,,,,Türkiye,,AN103921,,,,,,,
XX_UNKNOWN_AN01125,Authority,Ibrahim Bastanoglu,,,,,,,,,,,Türkiye,,AN01125,,,,,,,
XX_UNKNOWN_IHA0987,Authority,"Kaykavus I, Seljuk Sultan of Rum ",,,,,,,,,,,Türkiye,,IHA0987,,,,,,,
XX_UNKNOWN_AN00042,Authority,Michel Écochard,,,,,,,,,,,France,,AN00042,,,,,,,
XX_UNKNOWN_AN103789,Authority,Mualla Eyüboğlu Anhegger,,,,,,,,,,,Türkiye,,AN103789,,,,,,,
XX_UNKNOWN_AN100047,Authority,Renata Holod,,,,,,,,,,,Ukraine,,AN100047,,,,,,,
XX_UNKNOWN_AN01126,Authority,Sadik Mercangöz,,,,,,,,,,,Türkiye,,AN01126,,,,,,,
XX_UNKNOWN_AN104320,Authority,Süer Eker,,,,,,,,,,,,,AN104320,,,,,,,
XX_UNKNOWN_COL100812,Collection,"Cities as Built and Lived Environments: Scholarship from Muslim Contexts, 1875-2011 (English)",,,,,,,,,,,,,COL100812,,,,,,,
