Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_WC_17027928,Image,Antakya Arkeoloji Muzesi 0145.jpg,,,,,,,,,,Maarten Sepp,,Wikimedia Commons,17027928,,Maarten Sepp,,https://upload.wikimedia.org/wikipedia/commons/4/48/Antakya_Arkeoloji_Muzesi_0145.jpg,,,Photograph from Antakya Archaeological Museum
XX_WC_17029394,Image,Antakya - 2011-04-10.jpg,,,,,,,,,,Maarten Sepp,,Wikimedia Commons,17029394,,Maarten Sepp,,https://upload.wikimedia.org/wikipedia/commons/9/91/Antakya_-_2011-04-10.jpg,,,"<a href=""//commons.wikimedia.org/wiki/Category:Antakya"" title=""Category:Antakya"">Antakya</a>  (<a href=""//commons.wikimedia.org/wiki/Antioch"" title=""Antioch"">Antioch</a>), <a href=""//commons.wikimedia.org/wiki/Category:Hatay_Province"" title=""Category:Hatay Province"">Hatay province</a>, <a href=""//commons.wikimedia.org/wiki/Turkey"" class=""mw-redirect"" title=""Turkey"">Turkey</a>."
XX_WC_37069115,Image,Antakya 1.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Viki%C3%A7izer"" title=""User:Vikiçizer"">Vikiçizer</a>",,Wikimedia Commons,37069115,,"<a href=""//commons.wikimedia.org/wiki/User:Viki%C3%A7izer"" title=""User:Vikiçizer"">Vikiçizer</a>",,https://upload.wikimedia.org/wikipedia/commons/d/d6/Antakya_1.jpg,,,Antakya'dan çeşitli görüntüler
XX_WC_37069147,Image,Antakya 12.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Viki%C3%A7izer"" title=""User:Vikiçizer"">Vikiçizer</a>",,Wikimedia Commons,37069147,,"<a href=""//commons.wikimedia.org/wiki/User:Viki%C3%A7izer"" title=""User:Vikiçizer"">Vikiçizer</a>",,https://upload.wikimedia.org/wikipedia/commons/7/78/Antakya_12.jpg,,,Antakya'dan çeşitli görüntüler
XX_WC_52676827,Image,Antakya - Bandiera turca presso la Statua di Ataturk - panoramio.jpg,,,,,,,,,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161031210139/http://www.panoramio.com/user/2510486?with_photo_id=25294472"">Geobia7</a>","36.202499, 36.160362",Wikimedia Commons,52676827,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161031210139/http://www.panoramio.com/user/2510486?with_photo_id=25294472"">Geobia7</a>",,https://upload.wikimedia.org/wikipedia/commons/2/2f/Antakya_-_Bandiera_turca_presso_la_Statua_di_Ataturk_-_panoramio.jpg,,,Antakya - Bandiera turca presso la Statua di Ataturk
XX_WC_57537854,Image,"Bozlu-Antakya-Hatay, Turkey - panoramio (2).jpg",,,,,,,,,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161030034705/http://www.panoramio.com/user/4678999?with_photo_id=98382876"">Ben Bender</a>","36.129626, 36.144089",Wikimedia Commons,57537854,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161030034705/http://www.panoramio.com/user/4678999?with_photo_id=98382876"">Ben Bender</a>",,https://upload.wikimedia.org/wikipedia/commons/d/da/Bozlu-Antakya-Hatay%2C_Turkey_-_panoramio_%282%29.jpg,,,"Bozlu/Antakya/Hatay, Turkey"
XX_WC_57537950,Image,"Bozlu-Antakya-Hatay, Turkey - panoramio (3).jpg",,,,,,,,,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161029033711/http://www.panoramio.com/user/4678999?with_photo_id=98382866"">Ben Bender</a>","36.129635, 36.144093",Wikimedia Commons,57537950,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161029033711/http://www.panoramio.com/user/4678999?with_photo_id=98382866"">Ben Bender</a>",,https://upload.wikimedia.org/wikipedia/commons/6/62/Bozlu-Antakya-Hatay%2C_Turkey_-_panoramio_%283%29.jpg,,,"Bozlu/Antakya/Hatay, Turkey"
XX_WC_77750119,Image,Antakya Mahremiye camii in 2011 03.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77750119,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/2/24/Antakya_Mahremiye_camii_in_2011_03.jpg,,,"This mosque has entrances to its courtyard at two sides, one at a busy street in the market area. On the courtyard there also is a (wooden) medrese. It provides a pleasant oasis of rest in the busy market area. Its construction date I could not find, on the web I found a document in Tuirkish that states 1720 is the earliest date of mentioning it, but there is no foundation stone."
XX_WC_77750120,Image,Antakya Mahremiye camii in 2011 04.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77750120,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/0/09/Antakya_Mahremiye_camii_in_2011_04.jpg,,,"This mosque has entrances to its courtyard at two sides, one at a busy street in the market area. On the courtyard there also is a (wooden) medrese. It provides a pleasant oasis of rest in the busy market area. Its construction date I could not find, on the web I found a document in Tuirkish that states 1720 is the earliest date of mentioning it, but there is no foundation stone."
XX_WC_77750121,Image,Antakya Meydan Camii Minaret in 2004 14.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77750121,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/e/e2/Antakya_Meydan_Camii_Minaret_in_2004_14.jpg,,,"This mosque has entrances to its courtyard at two sides, one at a busy street in the market area. It provides a pleasant oasis of rest in the busy market area. Its construction date I could not find, on the web I found a document in Turkish that states 1720 is the earliest date of mentioning it, but there is no foundation stone. The mosque has a wood and glass exterior that was later taken off."
