Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_AKAFA_S212420,Image,S212420.jpg,,,,,,,,,,,None,Aga Khan Award for Architecture,S212420,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/4840fc59-8ee4-4d32-b6b9-9cbaa4cdf5c6/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/4840fc59-8ee4-4d32-b6b9-9cbaa4cdf5c6/iiif,,Terrace looking down to the courtyard
XX_AKAFA_S212418,Image,S212418.jpg,,,,,,,,,,,None,Aga Khan Award for Architecture,S212418,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/a5a3c0f3-65d2-46c4-88d0-57ee3f4ab36a/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/a5a3c0f3-65d2-46c4-88d0-57ee3f4ab36a/iiif,,"Interior, living room"
XX_AKAFA_S212417,Image,S212417.jpg,,,,,,,,,,,None,Aga Khan Award for Architecture,S212417,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c4fd150d-f02f-4aa4-ab4f-bcf7b6043aef/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c4fd150d-f02f-4aa4-ab4f-bcf7b6043aef/iiif,,"Interior, plastered dome over the living area"
XX_AKAFA_S212414,Image,S212414.jpg,,,,,,,,,,,None,Aga Khan Award for Architecture,S212414,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/238f0ff1-b638-4ca3-9431-d91430020b39/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/238f0ff1-b638-4ca3-9431-d91430020b39/iiif,,Main entrance to the Nuseibeh house is along a paved stone street
XX_AKAFA_S212413,Image,S212413.jpg,,,,,,,,,,,None,Aga Khan Award for Architecture,S212413,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/ebc2f002-3373-426a-b1a3-10facd9ab842/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/ebc2f002-3373-426a-b1a3-10facd9ab842/iiif,,View along the main entrance
XX_MLAKVA_LIB0116,Image,LIB0116,,,,,,,,,,,Libya,"MIT Libraries, Aga Khan Visual Archive",LIB0116,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/65b0c405-b131-4866-b650-8481aa3085dc/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/65b0c405-b131-4866-b650-8481aa3085dc/iiif,,Door made of iron nails and palm wood
XX_MLAKVA_LIB0115,Image,LIB0115,,,,,,,,,,,Libya,"MIT Libraries, Aga Khan Visual Archive",LIB0115,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/ddc5ae3b-4764-4097-8aa9-799ae06d5fdd/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/ddc5ae3b-4764-4097-8aa9-799ae06d5fdd/iiif,,Window and wall decoration
XX_MLAKVA_LIB0114,Image,LIB0114,,,,,,,,,,,Libya,"MIT Libraries, Aga Khan Visual Archive",LIB0114,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/a880df39-8423-43fd-a141-718b1228d49e/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/a880df39-8423-43fd-a141-718b1228d49e/iiif,,Detail of window
XX_MLAKVA_LIB0113,Image,LIB0113,,,,,,,,,,,Libya,"MIT Libraries, Aga Khan Visual Archive",LIB0113,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/76304070-2d3e-4e35-af99-00c774a166f9/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/76304070-2d3e-4e35-af99-00c774a166f9/iiif,,Detail of window carved from plaster
XX_MLAKVA_LIB0112,Image,LIB0112,,,,,,,,,,,Libya,"MIT Libraries, Aga Khan Visual Archive",LIB0112,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c0b3520b-8fc6-461e-b4a5-e4f0c1049ab3/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c0b3520b-8fc6-461e-b4a5-e4f0c1049ab3/iiif,,Detail of window
