Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_ARCHNET_6896,,0-14 Tower,,,,,,,,,,,,ArchNet,6896,,,,,,,
XX_ARCHNET_5170,,100 Cintra Street,,,,,,,,,,,,ArchNet,5170,,,,,,,
XX_ARCHNET_16770,,10-12 Place de France,,,,,,,,,,,,ArchNet,16770,,,,,,,
XX_ARCHNET_15061,,10 Saray El-Gezira Street,,,,,,,,,,,,ArchNet,15061,,,,,,,
XX_ARCHNET_5338,,1267 House Rehabilitation,,,,,,,,,,,,ArchNet,5338,,,,,,,
XX_ARCHNET_14867,,16-18 Nabatat Street,,,,,,,,,,,,ArchNet,14867,,,,,,,
XX_ARCHNET_10303,,1936 Development Plan for Damascus,,,,,,,,,,,,ArchNet,10303,,,,,,,
XX_ARCHNET_10361,,1968 Master Plan for Damascus,,,,,,,,,,,,ArchNet,10361,,,,,,,
XX_ARCHNET_4692,,200 Housing Units,,,,,,,,,,,,ArchNet,4692,,,,,,,
XX_ARCHNET_5340,,2052-55 House Rehabilitation,,,,,,,,,,,,ArchNet,5340,,,,,,,
XX_ARCHNET_6470,,213 Jervois Road,,,,,,,,,,,,ArchNet,6470,,,,,,,
XX_ARCHNET_236,,21 Schools in Benghazi,,,,,,,,,,,,ArchNet,236,,,,,,,
XX_ARCHNET_6167,,24 North Jeddah Office Complex,,,,,,,,,,,,ArchNet,6167,,,,,,,
XX_ARCHNET_5334,,290 House Rehabilitation,,,,,,,,,,,,ArchNet,5334,,,,,,,
XX_ARCHNET_19437,,2nd circle,,,,,,,,,,,,ArchNet,19437,,,,,,,
XX_ARCHNET_21026,,30 Houses,,,,,,,,,,,,ArchNet,21026,,,,,,,
XX_ARCHNET_3008,,33rd Lane,,,,,,,,,,,,ArchNet,3008,,,,,,,
XX_ARCHNET_20612,,345 Telenor Pakistan Headquarters,,,,,,,,,,,,ArchNet,20612,,,,,,,
XX_ARCHNET_21426,,3500 Millimetre House,,,,,,,,,,,,ArchNet,21426,,,,,,,
XX_ARCHNET_6778,,360° Leti Resort,,,,,,,,,,,,ArchNet,6778,,,,,,,
