Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_WC_1369509,Image,Hatay (tr).svg,,,,,,,,,,Katpatuka,,Wikimedia Commons,1369509,,Katpatuka,,https://upload.wikimedia.org/wikipedia/commons/f/fb/Hatay_%28tr%29.svg,,,Hatay (tr)
XX_WC_17022917,Image,IMG 0221 Harbiye - Hatay province - Turkey.jpg,,,,,,,,,,Maarten Sepp,,Wikimedia Commons,17022917,,Maarten Sepp,,https://upload.wikimedia.org/wikipedia/commons/f/f8/IMG_0221_Harbiye_-_Hatay_province_-_Turkey.jpg,,,"Harbiye, <a href=""//commons.wikimedia.org/wiki/Category:Hatay_Province"" title=""Category:Hatay Province"">Hatay province</a>, <a href=""//commons.wikimedia.org/wiki/Turkey"" class=""mw-redirect"" title=""Turkey"">Turkey</a>."
XX_WC_21604336,Image,"Harbiye, Hatay, Turkey.jpg",,,,,,,,,,Maarten Sepp,,Wikimedia Commons,21604336,,Maarten Sepp,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Harbiye%2C_Hatay%2C_Turkey.jpg,,,"Harbiye, <a href=""//commons.wikimedia.org/wiki/Category:Hatay_Province"" title=""Category:Hatay Province"">Hatay province</a>, <a href=""//commons.wikimedia.org/wiki/Turkey"" class=""mw-redirect"" title=""Turkey"">Turkey</a>."
XX_WC_33508488,Image,Hatay location Dörtyol.gif,,,,,,,,,,"<a href=""https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1:Emreculha"" class=""extiw"" title=""tr:Kullanıcı:Emreculha"">Emreculha</a>",,Wikimedia Commons,33508488,,"<a href=""https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1:Emreculha"" class=""extiw"" title=""tr:Kullanıcı:Emreculha"">Emreculha</a>",,https://upload.wikimedia.org/wikipedia/commons/1/18/Hatay_location_D%C3%B6rtyol.gif,,,Hatay ilçeler haritası.
XX_WC_33508493,Image,Hatay location Hassa.gif,,,,,,,,,,"<a href=""https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1:Emreculha"" class=""extiw"" title=""tr:Kullanıcı:Emreculha"">Emreculha</a>",,Wikimedia Commons,33508493,,"<a href=""https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1:Emreculha"" class=""extiw"" title=""tr:Kullanıcı:Emreculha"">Emreculha</a>",,https://upload.wikimedia.org/wikipedia/commons/2/25/Hatay_location_Hassa.gif,,,Hatay ilçeler haritası.
XX_WC_33508500,Image,Hatay location Samandağ.gif,,,,,,,,,,"<a href=""https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1:Emreculha"" class=""extiw"" title=""tr:Kullanıcı:Emreculha"">Emreculha</a>",,Wikimedia Commons,33508500,,"<a href=""https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1:Emreculha"" class=""extiw"" title=""tr:Kullanıcı:Emreculha"">Emreculha</a>",,https://upload.wikimedia.org/wikipedia/commons/1/13/Hatay_location_Samanda%C4%9F.gif,,,Hatay ilçeler haritası.
XX_WC_43079888,Image,Hatay location districts.png,,,,,,,,,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,Wikimedia Commons,43079888,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,https://upload.wikimedia.org/wikipedia/commons/0/0c/Hatay_location_districts.png,,,Hatay'ın ilçelerini gösteren harita
XX_WC_43088279,Image,Hatay location Altınözü.png,,,,,,,,,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,Wikimedia Commons,43088279,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,https://upload.wikimedia.org/wikipedia/commons/8/87/Hatay_location_Alt%C4%B1n%C3%B6z%C3%BC.png,,,Altınözü ilçesinin konumu
XX_WC_50201730,Image,Hatay location Belen.png,,,,,,,,,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,Wikimedia Commons,50201730,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,https://upload.wikimedia.org/wikipedia/commons/4/48/Hatay_location_Belen.png,,,Belen ilçesinin konumu
XX_WC_50201731,Image,Hatay location Defne.png,,,,,,,,,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,Wikimedia Commons,50201731,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Batuhan_duz&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Batuhan duz (page does not exist)"">Batuhan duz</a>",,https://upload.wikimedia.org/wikipedia/commons/1/1a/Hatay_location_Defne.png,,,Defne ilçesinin konumu
XX_WC_53291911,Image,Draba haradjianii - Hatay Dolaması.jpg,,,,,,,,,,Ümit Kaplan,,Wikimedia Commons,53291911,,Ümit Kaplan,,https://upload.wikimedia.org/wikipedia/commons/7/78/Draba_haradjianii_-_Hatay_Dolamas%C4%B1.jpg,,,"Amanos Dağları, Hatay il sınırı içerisinde endemik bir Kayadolaması cinsi bitki türü."
XX_WC_54382199,Image,"Turkey, Hatay province. Road to the ruins of the monastry of Simeon Stylites the Younger. - panoramio.jpg",,,,,,,,,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161024025648/http://www.panoramio.com/user/6455607?with_photo_id=62299287"">Maarten Sepp</a>","36.071850, 36.055111",Wikimedia Commons,54382199,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161024025648/http://www.panoramio.com/user/6455607?with_photo_id=62299287"">Maarten Sepp</a>",,https://upload.wikimedia.org/wikipedia/commons/e/e5/Turkey%2C_Hatay_province._Road_to_the_ruins_of_the_monastry_of_Simeon_Stylites_the_Younger._-_panoramio.jpg,,,"Turkey, Hatay province. Road to the ruins of the monastry of Simeon Stylites the Younger."
XX_WC_54382292,Image,"Turkey, Hatay province. Mule path from Çevlik to Kapisuyu. - panoramio.jpg",,,,,,,,,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161024034948/http://www.panoramio.com/user/6455607?with_photo_id=62299615"">Maarten Sepp</a>","36.128719, 35.932124",Wikimedia Commons,54382292,,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161024034948/http://www.panoramio.com/user/6455607?with_photo_id=62299615"">Maarten Sepp</a>",,https://upload.wikimedia.org/wikipedia/commons/0/0d/Turkey%2C_Hatay_province._Mule_path_from_%C3%87evlik_to_Kapisuyu._-_panoramio.jpg,,,"Turkey, Hatay province. Mule path from Çevlik to Kapisuyu."
